"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","qind_cv","pglobal_cv","qglobal_cv","Extreme"
"C16orf72",0,4,0,0,0,4.7045039991321,0,0,0,0.0807312573886183,0.628034871179147,0.164883261839453,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.462088236570055,0.999999999917176,FALSE
"ZNF830",1,0,0,0,0,0,0,0,0,0.0678510393562604,0.474711514648083,0.164963256441862,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.462232408843647,0.999999999917176,FALSE
"IFNA10",1,5,0,0,0,3.68421937399117,0,0,0,0.0795443752240844,0.603308251551741,0.165035980898331,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.462363444651044,0.999999999917176,FALSE
"SUPT5H",2,6,1,1,1,1.24902880839903,2.7885605276939,2.7885605276939,2.64711111750713,0.738410717436171,0.276961293288038,0.552362753165615,0.298848947150861,0.936711139837171,0.830632506380491,0.896241183646578,1,0.462430182857368,0.999999999917176,FALSE
"ST8SIA5",3,9,0,1,1,1.5636088422886,1.54855326028225,1.54855326028225,3.68401272396671,0.428598331619499,0.705913901597831,0.722460775824247,0.228514014962073,0.805443961786899,0.830632506380491,0.897924771149557,1,0.462465101778128,0.999999999917176,FALSE
"CHST9",3,2,0,0,0,0.273790085440722,0,0,0,0.108220880943715,0.186011139269609,0.165093083395379,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.462466310161761,0.999999999917176,FALSE
"RAB30",3,7,1,1,0,2.37693804704558,4.43239638520763,4.43239638520763,0,0.14500489206051,0.119887888703376,0.16514037119846,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.462551480347805,0.999999999917176,FALSE
"MFAP5",2,1,0,2,0,0.364810571431472,3.49632030238369,3.49632030238369,0,0.335266117277318,0.192072009608805,0.165145387490905,1,0.765936110688865,0.830632506380491,0.896241183646578,1,0.462560514410813,0.999999999917176,FALSE
"LHX2",3,1,1,0,0,0.238934461523327,3.01712024732506,3.01712024732506,0,0.141167098561902,0.376155009010513,0.165177017639517,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.462617475035663,0.999999999917176,FALSE
"IGFL2",0,4,0,0,0,4.72524692581482,0,0,0,0.0798528570346548,0.634978578937428,0.165199334107963,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.462657659630806,0.999999999917176,FALSE
"SLCO1C1",6,13,3,0,2,0.79343967292757,1.0482127092895,1.0482127092895,2.50595752686046,0.617595396214694,0.945218116875763,0.840018749827678,0.196672184947476,0.892598908063629,0.958334371016972,0.917440845870517,1,0.462673844673051,0.999999999917176,FALSE
"CHRNA9",0,2,0,0,1,1.10239024738042,0,0,4.35047604469925,0.927739954171707,0.566492194427774,0.833006486053653,0.198421948670648,0.98613979337514,0.830632506380491,0.916972646485136,1,0.462815074169891,0.999999999917176,FALSE
"FAM13A",5,5,0,0,0,0.495804624950089,0,0,0,0.235557232962464,0.085658441877053,0.165349773415779,1,0.733316662381462,0.830632506380491,0.896241183646578,1,0.462928472538606,0.999999999917176,FALSE
"TENT5A",0,6,0,0,0,4.0691525728871,0,0,0,0.0839630550119829,0.625014256531058,0.165409418817796,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.463035805147544,0.999999999917176,FALSE
"MS4A7",5,11,0,0,0,1.56936710284446,0,0,0,0.354631450406248,0.15377024581571,0.165438689958565,1,0.77487013841814,0.830632506380491,0.896241183646578,1,0.463088471044918,0.999999999917176,FALSE
"OR5AP2",6,13,0,0,1,1.01630642658834,0,0,2.19553364183244,0.971822689184236,0.234896303857967,0.479701098346569,0.344883058465994,0.995099809533633,0.830632506380491,0.896241183646578,1,0.463092234842791,0.999999999917176,FALSE
"SBSPON",0,6,0,0,0,3.82745473506691,0,0,0,0.0995549165279395,0.55281707303656,0.165552641356212,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.463293447991981,0.999999999917176,FALSE
"PCDHGC4",6,14,0,0,1,1.07756685610709,0,0,1.3753725578915,0.868311454679871,0.166545966053132,0.346948112041826,0.47717862839917,0.976329602874687,0.830632506380491,0.896241183646578,1,0.463299891629756,0.999999999917176,FALSE
"REV3L",1,17,1,0,0,2.89334350353121,1.27050125390383,1.27050125390383,0,0.0746567401337123,0.8423388768606,0.165566711267671,1,0.711589773086314,0.88223599813339,0.896241183646578,1,0.46331875165234,0.999999999917176,FALSE
"CNGA1",1,7,0,0,1,1.28082799136845,0,0,1.73053716093489,0.731617304000256,0.254015957200857,0.404441705109045,0.409490850096243,0.934074686975544,0.830632506380491,0.896241183646578,1,0.463405905565134,0.999999999917176,FALSE
"C3",3,12,0,0,0,1.52571465407754,0,0,0,0.430776677578967,0.149650340827938,0.165638842718469,1,0.806885979119816,0.830632506380491,0.896241183646578,1,0.463448455778197,0.999999999917176,FALSE
"PBX1",1,8,0,0,0,2.47786676612642,0,0,0,0.179587278977628,0.334494416421062,0.165666287195198,1,0.716261758579098,0.830632506380491,0.896241183646578,1,0.463497797178332,0.999999999917176,FALSE
"MAPK9",0,6,1,1,0,3.44218432853442,6.37057881207431,6.37057881207431,0,0.131765144726553,0.093447620723457,0.165680853843228,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.463523984163994,0.999999999917176,FALSE
"RABGEF1",2,10,1,0,0,2.99878714982585,2.02818510873095,2.02818510873095,0,0.0579704401731805,0.560518301901266,0.165694585806576,1,0.710390724426958,0.830632506380491,0.896241183646578,1,0.46354866943434,0.999999999917176,FALSE
"ABCA6",6,17,3,4,0,1.05269315290612,2.51034102423391,2.51034102423391,0,0.90637651547027,0.0865612200967377,0.165754378040383,1,0.981926246595803,0.830632506380491,0.896241183646578,1,0.463656141706781,0.999999999917176,FALSE
"TOGARAM2",5,5,0,0,0,0.437650696247905,0,0,0,0.162882922939831,0.119796238943746,0.165805005915084,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.463747124834239,0.999999999917176,FALSE
"SLC4A8",6,19,1,0,1,1.38379079128125,0.492575223954779,0.492575223954779,1.84213085416119,0.44105568182382,0.467167613363027,0.423345990058588,0.391921481413379,0.811006454027769,0.830632506380491,0.896241183646578,1,0.463950826437421,0.999999999917176,FALSE
"FERMT3",0,6,1,0,0,4.17834138065745,5.78352295285231,5.78352295285231,0,0.0778495037605829,0.220040653040692,0.165973556105335,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.464049914251109,0.999999999917176,FALSE
"MLX",0,3,0,0,0,5.60355802453067,0,0,0,0.0730940940653967,0.679140796249223,0.165989466310496,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.464078487052462,0.999999999917176,FALSE
"CD2",2,4,1,0,1,0.930137158747229,1.84652717560869,1.84652717560869,4.42339335178339,0.921160092402381,0.610282336425383,0.848633703782085,0.195601874465666,0.985429217895088,0.830632506380491,0.91833972060722,1,0.464087245040075,0.999999999917176,FALSE
"POLR3K",0,2,0,0,0,7.88856063512711,0,0,0,0.0639171233602219,0.778610974640169,0.166119807125283,1,0.711589773086314,0.843999976186945,0.896241183646578,1,0.464312505960795,0.999999999917176,FALSE
"MMP24",0,2,0,0,1,1.22089871888584,0,0,4.25317714548515,0.85244306381823,0.575316491858323,0.821226847898881,0.20231357266,0.971850840363756,0.830632506380491,0.913557612822028,1,0.464358332309215,0.999999999917176,FALSE
"DUSP10",2,11,0,0,0,2.40016397699951,0,0,0,0.127645621339151,0.406738974996109,0.166212364506473,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.464478624939217,0.999999999917176,FALSE
"SI",23,96,8,2,2,1.10190962856557,0.652536452910303,0.652536452910303,0.629746476977213,0.665055638950387,0.242473498293574,0.235881036513739,0.705084606330561,0.91114424341014,0.830632506380491,0.896241183646578,1,0.464664722840074,0.999999999917176,FALSE
"SCN7A",7,24,5,0,3,1.00302371977049,1.51639429879947,1.51639429879947,1.87082233973059,0.993959423586089,0.469347512879329,0.714827834661965,0.232839600504803,0.999420453332128,0.830632506380491,0.897011581701568,1,0.464887366371121,0.999999999917176,FALSE
"TRIM49B",0,0,0,0,0,0,0,0,0,0.0678705051659936,0.402868420688307,0.166543664832046,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.465072809769904,0.999999999917176,FALSE
"RBM27",2,10,0,0,0,1.87224115600641,0,0,0,0.290444958672186,0.218110999437625,0.16656020962902,1,0.753678395390432,0.830632506380491,0.896241183646578,1,0.465102465459529,0.999999999917176,FALSE
"ARNTL2",1,6,0,1,1,1.74937675338294,1.62462340063157,1.62462340063157,3.74315611460533,0.441655355256287,0.692672124632648,0.738705423126917,0.225481384884738,0.811006454027769,0.830632506380491,0.89987027161654,1,0.465109836108642,0.999999999917176,FALSE
"PRKN",6,11,2,1,1,0.971453217650231,1.80410585228553,1.80410585228553,3.27458466201093,0.951247741261297,0.409533595731081,0.661622924451529,0.251957394404046,0.991858730661634,0.830632506380491,0.896241183646578,1,0.465354378820876,0.999999999917176,FALSE
"PDE6A",2,14,1,2,0,2.548004694171,3.37083150866458,3.37083150866458,0,0.0885025839826162,0.138785050476843,0.166789515920184,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.465513315919923,0.999999999917176,FALSE
"MACROD2",0,4,3,0,0,1.75685121468487,5.98623070462361,5.98623070462361,0,0.539762434203619,0.0630039120631524,0.16681261883593,1,0.858658192780644,0.830632506380491,0.896241183646578,1,0.465554692165213,0.999999999917176,FALSE
"ACRBP",3,1,0,0,0,0.203315007923263,0,0,0,0.0981846880453048,0.238150937792562,0.166876872799256,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.46566975119574,0.999999999917176,FALSE
"C12orf45",0,3,0,0,0,5.64193023277601,0,0,0,0.0719910461554905,0.694058877442112,0.16690910694335,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.465727463286386,0.999999999917176,FALSE
"UBP1",1,0,0,0,0,0,0,0,0,0.0737508260480348,0.402834380880259,0.166944058403708,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.465790033432304,0.999999999917176,FALSE
"PCNX1",6,25,2,2,1,1.6683362234864,2.12246653829391,2.12246653829391,1.34904460906361,0.199213097730592,0.24599355746875,0.345679777615571,0.483060599434678,0.722297699501285,0.830632506380491,0.896241183646578,1,0.46586203017767,0.999999999917176,FALSE
"NUP107",2,9,0,1,1,1.74540339911397,1.00348097839428,1.00348097839428,2.97209808401677,0.358748478359229,0.997554446984684,0.613237634305495,0.272592495264211,0.776001540413377,0.998437744323021,0.896241183646578,1,0.466183564020697,0.999999999917176,FALSE
"CPO",3,2,2,0,0,0.333306821943693,2.04434111719813,2.04434111719813,0,0.174577256438354,0.424548816461939,0.167450529089774,1,0.712537613159884,0.830632506380491,0.896241183646578,1,0.466695897352666,0.999999999917176,FALSE
"DNAH17",14,23,1,0,1,0.760585611534927,0.246591068731623,0.246591068731623,0.630811988984966,0.409668713628611,0.0938778430672631,0.233427464628009,0.717399361782963,0.79710348330168,0.830632506380491,0.896241183646578,1,0.466714098425395,0.999999999917176,FALSE
"FOXK1",3,5,0,0,1,1.07842262540519,0,0,3.43658641882639,0.9073731416298,0.40894446944406,0.692096201690754,0.242132278146163,0.982369839966096,0.830632506380491,0.896241183646578,1,0.466925130597692,0.999999999917176,FALSE
"PARP4",5,8,1,2,1,0.628823496314463,1.61378780244077,1.61378780244077,1.51626468570396,0.385164191342533,0.506830062850209,0.374231983422682,0.447901832814683,0.785414952854814,0.830632506380491,0.896241183646578,1,0.46699722311545,0.999999999917176,FALSE
"HELZ2",7,12,0,0,1,0.902370804788269,0,0,1.38226513924978,0.819216167093313,0.148868752876044,0.352444134993866,0.47566131517009,0.96079889176173,0.830632506380491,0.896241183646578,1,0.467041603990294,0.999999999917176,FALSE
"TMC7",0,3,1,1,0,1.66419580214704,8.11608279440516,8.11608279440516,0,0.600984635138411,0.0607006948131966,0.167653616734351,1,0.885113756594792,0.830632506380491,0.896241183646578,1,0.467058705540598,0.999999999917176,FALSE
"PLCH1",2,18,2,1,1,2.16407096739388,2.77301169406234,2.77301169406234,0.984569106563717,0.150762447257502,0.209400278835647,0.288484755927704,0.581192058908125,0.711589773086314,0.830632506380491,0.896241183646578,1,0.467079121988763,0.999999999917176,FALSE
"COG5",4,11,0,0,0,1.35240699374683,0,0,0,0.556947238463302,0.114143664909136,0.167691231941491,1,0.86501797143178,0.830632506380491,0.896241183646578,1,0.467125876635709,0.999999999917176,FALSE
"MEP1A",5,14,0,0,0,1.17377106354563,0,0,0,0.733107296697056,0.0889434679307515,0.167745566694405,1,0.934335030744867,0.830632506380491,0.896241183646578,1,0.467222889647489,0.999999999917176,FALSE
"BPIFB1",7,5,0,0,0,0.497861998177074,0,0,0,0.206355550751214,0.106974595540899,0.16801036519867,1,0.723984176752641,0.830632506380491,0.896241183646578,1,0.46769542736071,0.999999999917176,FALSE
"CABP2",2,0,0,0,0,0,0,0,0,0.0751183375812386,0.432092801645203,0.168049214525816,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.467764719564378,0.999999999917176,FALSE
"D2HGDH",5,3,2,0,0,0.582200760807389,3.99571359085071,3.99571359085071,0,0.425207511874399,0.134295524087075,0.168106576929752,1,0.802957391154863,0.830632506380491,0.896241183646578,1,0.467867015530943,0.999999999917176,FALSE
"IFNA16",1,8,0,0,0,2.94328783720808,0,0,0,0.107038796265578,0.492681358029148,0.168119986813292,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.46789092692534,0.999999999917176,FALSE
"HABP2",0,4,1,0,1,1.8044434973818,3.30375971753449,3.30375971753449,3.15804324434465,0.520082160395188,0.384326938820046,0.648047383211645,0.259529522171483,0.852140342075935,0.830632506380491,0.896241183646578,1,0.468011165734404,0.999999999917176,FALSE
"LENG1",0,4,0,0,0,4.74077647939661,0,0,0,0.0792028982145393,0.651391113126341,0.168280462002813,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.468176990035922,0.999999999917176,FALSE
"ZNF25",0,7,1,1,0,3.44202400200698,6.1284034137852,6.1284034137852,0,0.121404180797072,0.0999425688440813,0.168371552279849,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.468339299489585,0.999999999917176,FALSE
"MAK",2,1,0,0,0,0.186216479872482,0,0,0,0.0971765959708741,0.221029661119537,0.16847322510274,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.468520407281137,0.999999999917176,FALSE
"FASTKD3",1,6,0,0,1,1.47362761025535,0,0,1.96265842997158,0.597025661475485,0.326823338390668,0.450026957374603,0.374529387763113,0.883448682770002,0.830632506380491,0.896241183646578,1,0.468654134404846,0.999999999917176,FALSE
"BRD9",3,4,1,0,1,0.894506635313478,1.4687751540086,1.4687751540086,4.73293568611288,0.870914065667807,0.738645734398356,0.914054823118003,0.18446909932753,0.976994698122619,0.832823823986317,0.936872065342199,1,0.468772614184707,0.999999999917176,FALSE
"EPHB1",11,39,4,0,1,1.59748731931965,1.511593659044,1.511593659044,1.18607272544098,0.134513483516106,0.488284450310732,0.322548751836902,0.522775432028759,0.711589773086314,0.830632506380491,0.896241183646578,1,0.468782748655333,0.999999999917176,FALSE
"DAB2IP",3,6,0,0,1,0.974866354609233,0,0,2.42888525125417,0.967429860182946,0.264543847589697,0.527944557323325,0.319476595696588,0.994483931026008,0.830632506380491,0.896241183646578,1,0.468863500184723,0.999999999917176,FALSE
"PRR32",0,0,0,0,0,0,0,0,0,0.0649447783771971,0.503846337759272,0.168732291332952,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.46898159956767,0.999999999917176,FALSE
"LIN28A",0,5,0,0,0,4.0939121289149,0,0,0,0.0947705203779384,0.574624059477766,0.168740626101246,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.468996430597706,0.999999999917176,FALSE
"IMPDH1",1,6,0,0,0,3.21332341490145,0,0,0,0.100663092333279,0.508836850320534,0.168747523470494,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.469008703583849,0.999999999917176,FALSE
"RBM12",1,10,0,0,0,2.79305169618419,0,0,0,0.111290537033681,0.486613386550031,0.168822209250918,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.469141579323505,0.999999999917176,FALSE
"KLF18",0,0,0,0,0,0,0,0,0,0.0652486992074601,0.496405765031428,0.168871432278457,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.469229135441588,0.999999999917176,FALSE
"BHLHE22",0,1,1,0,0,1.01157006921036,17.8470413559051,17.8470413559051,0,0.992879256512425,0.0653225975400014,0.168907288415161,1,0.999273077898057,0.830632506380491,0.896241183646578,1,0.469292905991369,0.999999999917176,FALSE
"ZNF821",1,0,0,0,0,0,0,0,0,0.0703563178137477,0.467774597238481,0.168932651715364,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.46933801031478,0.999999999917176,FALSE
"SUSD3",0,4,0,1,0,3.85428634431822,9.12962951549464,9.12962951549464,0,0.129609743822594,0.135824492587774,0.168995763540802,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.469450227456088,0.999999999917176,FALSE
"NGEF",2,6,3,0,0,1.36248752172227,4.78484628432434,4.78484628432434,0,0.641299272784035,0.0617048822886005,0.169020519511525,1,0.902538384094298,0.830632506380491,0.896241183646578,1,0.469494238828577,0.999999999917176,FALSE
"CALB1",2,7,0,0,0,2.08178489825912,0,0,0,0.247584408653873,0.239361355002242,0.169058650651998,1,0.737265528807361,0.830632506380491,0.896241183646578,1,0.469562021596585,0.999999999917176,FALSE
"SERPINB12",6,14,0,0,0,1.13413595142532,0,0,0,0.779455350122291,0.0823504379919807,0.169060243603821,1,0.94900972677777,0.830632506380491,0.896241183646578,1,0.469564853076203,0.999999999917176,FALSE
"CHSY3",1,16,1,0,0,3.06630120290475,2.01727576324138,2.01727576324138,0,0.0604619807617404,0.574737938383436,0.16914486408754,1,0.71103881414786,0.830632506380491,0.896241183646578,1,0.469715244825058,0.999999999917176,FALSE
"ADGRB3",22,64,2,4,2,0.958721991602485,0.548431373821039,0.548431373821039,1.04421493288186,0.861679804393769,0.165043314680591,0.335039474929921,0.504937461980755,0.975004913768672,0.830632506380491,0.896241183646578,1,0.469766985080939,0.999999999917176,FALSE
"IRF6",1,10,1,1,0,2.82243243222319,4.7147999007248,4.7147999007248,0,0.107434105169666,0.127188566084111,0.169222037731986,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.469852364768879,0.999999999917176,FALSE
"ADD3",5,12,0,0,0,1.20552974405331,0,0,0,0.698455186052954,0.0921159897947641,0.169297958867789,1,0.922296111853715,0.830632506380491,0.896241183646578,1,0.469987224947923,0.999999999917176,FALSE
"ALDH1A1",0,6,0,0,0,3.44011993352491,0,0,0,0.131967150366743,0.466098913370339,0.169334093408783,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.470051399471222,0.999999999917176,FALSE
"RHOXF1",1,5,2,0,0,1.98628005035096,6.94421006597272,6.94421006597272,0,0.360796495182412,0.0633712814054846,0.169380176792815,1,0.776001540413377,0.830632506380491,0.896241183646578,1,0.470133231836331,0.999999999917176,FALSE
"ZNF730",0,0,0,0,0,0,0,0,0,0.0708939852902815,0.377257563828963,0.169405981268777,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.470179048544093,0.999999999917176,FALSE
"GOLGA1",1,4,3,0,0,1.4055339475882,5.0860450971298,5.0860450971298,0,0.668989465368721,0.0643282017859874,0.169441210673792,1,0.912305838231874,0.830632506380491,0.896241183646578,1,0.470241593181613,0.999999999917176,FALSE
"MEI4",0,0,0,0,0,0,0,0,0,0.0706659206309682,0.381361385887499,0.169449378834386,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.470256093505722,0.999999999917176,FALSE
"ECEL1",2,10,0,0,0,2.14058854881143,0,0,0,0.196067981458702,0.296834869772409,0.169648684460411,1,0.722297699501285,0.830632506380491,0.896241183646578,1,0.470609783896378,0.999999999917176,FALSE
"APOBEC2",2,0,0,0,0,0,0,0,0,0.0717539645369172,0.489263164258177,0.169681200594488,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.47066746523282,0.999999999917176,FALSE
"MCC",3,11,3,0,1,1.47487484278966,2.67498872201025,2.67498872201025,1.90386439383671,0.476116146696611,0.208694480007927,0.443479106615154,0.382820559899457,0.829695100654944,0.830632506380491,0.896241183646578,1,0.470830135257799,0.999999999917176,FALSE
"CBWD1",1,1,1,1,0,0.494548074306697,4.58976817241478,4.58976817241478,0,0.534365019624348,0.133233946186336,0.169855449285377,1,0.856952579344934,0.830632506380491,0.896241183646578,1,0.470976464027595,0.999999999917176,FALSE
"L2HGDH",1,6,1,1,0,2.50107171643125,5.98684292796073,5.98684292796073,0,0.200548227024389,0.0832299089039852,0.169991981662343,1,0.72289152701194,0.830632506380491,0.896241183646578,1,0.471218454791045,0.999999999917176,FALSE
"HIF1A",0,2,1,0,1,1.00241393865342,3.40927216794241,3.40927216794241,3.0275644356073,0.998213881588302,0.372983572495928,0.633134830349296,0.268561433795798,0.999564881272085,0.830632506380491,0.896241183646578,1,0.471295737210581,0.999999999917176,FALSE
"CD2AP",1,3,0,1,1,1.14639016365803,1.88280984156626,1.88280984156626,4.47665253926687,0.872840763326187,0.610781919344591,0.878487347923365,0.193592023679748,0.976994698122619,0.830632506380491,0.92317261013515,1,0.471353396745706,0.999999999917176,FALSE
"TTC14",2,11,0,0,0,1.66131837097617,0,0,0,0.388453685790936,0.179693733885908,0.170129476672742,1,0.786681105067035,0.830632506380491,0.896241183646578,1,0.47146204091057,0.999999999917176,FALSE
"LRRD1",0,0,0,0,0,0,0,0,0,0.070464492258107,0.392165702415492,0.170236601940757,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.471651746984022,0.999999999917176,FALSE
"DICER1",5,13,0,0,0,0.949987441530474,0,0,0,0.91512530243081,0.0670926186724488,0.170255098589985,1,0.984876339666118,0.830632506380491,0.896241183646578,1,0.471684495518061,0.999999999917176,FALSE
"PLCH2",3,15,1,0,1,1.93907870894959,1.29413462293973,1.29413462293973,1.75102230547011,0.193107770293237,0.820497229420814,0.419478405879118,0.406151598540591,0.720453503552379,0.866681770039048,0.896241183646578,1,0.471891114827251,0.999999999917176,FALSE
"SSBP4",2,0,0,0,0,0,0,0,0,0.075913018984144,0.438690236507989,0.170396592255204,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.471934945243633,0.999999999917176,FALSE
"C4orf54",0,0,0,0,0,0,0,0,0,0.0656298279496834,0.508999675174973,0.1704538766401,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.472036307590606,0.999999999917176,FALSE
"CHRNG",1,5,1,1,0,2.15353370482701,6.68896856374213,6.68896856374213,0,0.305964051669778,0.0679267588015099,0.170487848865022,1,0.756989330721913,0.830632506380491,0.896241183646578,1,0.4720964109415,0.999999999917176,FALSE
"ANAPC1",1,12,1,0,0,3.14589647742184,1.61981049986729,1.61981049986729,0,0.0647084263522888,0.694384350897895,0.170534184649839,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.472178376877014,0.999999999917176,FALSE
"GLMP",1,6,0,0,0,3.34164945593423,0,0,0,0.0894666578606208,0.568004294291769,0.170617196527514,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.472325189704666,0.999999999917176,FALSE
"RNASE11",2,5,2,0,0,1.60041871681186,6.63594788482558,6.63594788482558,0,0.495348731890274,0.0610327510912988,0.170642681674198,1,0.841956715600409,0.830632506380491,0.896241183646578,1,0.472370254023434,0.999999999917176,FALSE
"POP1",5,14,3,0,1,1.35987424808062,2.13336485596849,2.13336485596849,2.60508745161737,0.50969576566061,0.303772860504992,0.564003677952216,0.302613933201945,0.847260939868936,0.830632506380491,0.896241183646578,1,0.472428052194173,0.999999999917176,FALSE
"ZFHX2",0,0,0,0,0,0,0,0,0,0.0664498352695982,0.490150147510028,0.170874513747242,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.472780018257169,0.999999999917176,FALSE
"POU3F3",2,4,0,0,1,1.14394691945314,0,0,4.23901918604201,0.853899717647929,0.592999796263834,0.842314279282911,0.202892547591989,0.972300128841112,0.830632506380491,0.91785006898205,1,0.472823791778733,0.999999999917176,FALSE
"ZNF469",0,0,0,0,0,0,0,0,0,0.0652828728631077,0.528291832859148,0.170914156049412,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.472850054702504,0.999999999917176,FALSE
"CFTR",6,6,0,1,0,0.364874054572253,0.383265671912181,0.383265671912181,0,0.0660958938249134,0.310217802637417,0.170928785848549,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.472875898989714,0.999999999917176,FALSE
"MAN2B2",2,5,0,0,1,1.06979435037376,0,0,2.62235465703732,0.922641691354538,0.308804659114882,0.567781293286532,0.30105563554335,0.985429217895088,0.830632506380491,0.896241183646578,1,0.472884682440688,0.999999999917176,FALSE
"CAMKMT",1,0,0,0,0,0,0,0,0,0.0765799526477049,0.397377212541685,0.170963329182452,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.472936916584366,0.999999999917176,FALSE
"CTD-3088G3.8",0,0,0,0,0,0,0,0,0,0.0693156482800397,0.421425452426498,0.170979875642162,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.472966141897965,0.999999999917176,FALSE
"FAM205A",0,0,0,0,0,0,0,0,0,0.0671816112294333,0.472461691118362,0.171075099074125,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.473134299908731,0.999999999917176,FALSE
"FMN2",17,63,6,1,3,1.41030219236371,1.45351113473054,1.45351113473054,1.1360478179538,0.180249560515869,0.413317892427905,0.389793492010571,0.438947568205055,0.717094706701801,0.830632506380491,0.896241183646578,1,0.473176331990257,0.999999999917176,FALSE
"HERC6",2,10,0,0,0,1.87136983072795,0,0,0,0.290816636807559,0.22274613518695,0.171156649730167,1,0.753678395390432,0.830632506380491,0.896241183646578,1,0.473278270605803,0.999999999917176,FALSE
"OR6C76",2,4,1,0,1,0.839964184966873,3.21318636119167,3.21318636119167,2.69663874532804,0.811925544694131,0.359454268835231,0.581182522768283,0.294528924253863,0.958586954217401,0.830632506380491,0.896241183646578,1,0.47331077267756,0.999999999917176,FALSE
"DRG1",2,0,0,0,0,0,0,0,0,0.073715257291004,0.472749753560145,0.171209111364221,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.473370866587133,0.999999999917176,FALSE
"PKD1L3",0,0,0,0,0,0,0,0,0,0.0705214404305681,0.400844919405528,0.17123076288194,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.473409077323472,0.999999999917176,FALSE
"CCL22",0,3,0,0,0,5.66732085226231,0,0,0,0.0712731086228815,0.724453192601132,0.171241616422136,1,0.711589773086314,0.830719518853452,0.896241183646578,1,0.473428230690125,0.999999999917176,FALSE
"HOXA10",6,2,0,0,0,0.293811125156313,0,0,0,0.0895350592926326,0.327711775942104,0.171294882930475,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.473522220735486,0.999999999917176,FALSE
"RAB8A",0,3,0,0,0,5.47127882350439,0,0,0,0.0770702435968027,0.669327574694912,0.171365122695534,1,0.711589773086314,0.830632506380491,0.896241183646578,1,0.473646135182688,0.999999999917176,FALSE
"PRRC2A",4,11,1,0,2,1.02185818712797,0.835373437773308,0.835373437773308,2.73505069006751,0.966904627045764,0.865840116381492,0.980488590373824,0.174846522131523,0.994483931026008,0.897264934281764,0.984896432442415,1,0.473769416922486,0.999999999917176,FALSE
"RAD50",1,9,0,0,0,1.91564607670448,0,0,0,0.335176896671573,0.223596513964322,0.171516628942368,1,0.765936110688865,0.830632506380491,0.896241183646578,1,0.473913319002128,0.999999999917176,FALSE
